strain,growth_rate_ratio,mtdna_ratio,simulation_index,time,mean_h,nspl,ndau,ngen,startbud
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,19.28805203,0.3200604378896153,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,20.771748340000002,0.3108191971524314,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,0.0,0.5,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,1.48369631,0.5069444444444444,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,2.96739262,0.5173611111111112,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,4.45108893,0.5078125,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,5.93478524,0.5052816901408451,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,7.41848155,0.5120535714285714,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,8.90217786,0.5146590909090909,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,10.385874170000001,0.5120645009416196,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,11.86957048,0.5070342432950191,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,13.35326679,0.49820066437007876,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,14.8369631,0.4882585793590714,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,16.32065941,0.4797834429824561,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,17.80435572,0.4697174731005347,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,19.28805203,0.46008127065488635,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,0,20.771748340000002,0.45006469377561914,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,1,0.0,0.5,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,1,1.48369631,0.490625,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,1,2.96739262,0.48125,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,1.0,1,4.45108893,0.49140625,5,11,14,32
